Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-09-01T00:00+02:00;2021-10-01T00:00+02:00;2021;9;9174;8654;9694;100;30;30;0;4;100;1;8561;609;173;230;186;20;20;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-09-01T00:00+02:00;2021-10-01T00:00+02:00;2021;9;9183;8704;9662;100;30;30;0;2;100;2;8585;595;162;227;187;19;19;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-09-01T00:00+02:00;2021-10-01T00:00+02:00;2021;9;9171;8699;9643;100;30;30;0;2;100;Totalt i retning Tromsø;8574;595;162;227;188;19;19;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-09-01T00:00+02:00;2021-10-01T00:00+02:00;2021;9;9186;8662;9710;100;30;30;0;4;100;Totalt i retning Kvaløya;8573;609;173;231;186;20;20;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-09-01T00:00+02:00;2021-10-01T00:00+02:00;2021;9;18357;17365;19349;100;30;30;0;6;100;Totalt;17146;1205;335;457;374;39;39;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-10-01T00:00+02:00;2021-11-01T00:00+01:00;2021;10;8563;8052;9074;100;31;31;0;1;100;1;8046;516;137;197;166;15;15;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-10-01T00:00+02:00;2021-11-01T00:00+01:00;2021;10;8559;8097;9021;100;31;31;0;1;100;2;8047;511;132;197;167;15;15;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-10-01T00:00+02:00;2021-11-01T00:00+01:00;2021;10;8560;8098;9022;100;31;31;0;1;100;Totalt i retning Tromsø;8047;511;132;197;167;15;15;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-10-01T00:00+02:00;2021-11-01T00:00+01:00;2021;10;8563;8052;9074;100;31;31;0;1;100;Totalt i retning Kvaløya;8046;516;137;197;166;15;15;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-10-01T00:00+02:00;2021-11-01T00:00+01:00;2021;10;17123;16153;18093;100;31;31;0;3;100;Totalt;16093;1027;269;393;333;31;31;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-11-01T00:00+01:00;2021-12-01T00:00+01:00;2021;11;8207;7702;8712;100;30;30;0;1;100;1;7753;453;123;149;168;13;13;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-11-01T00:00+01:00;2021-12-01T00:00+01:00;2021;11;8206;7734;8678;100;30;30;0;1;100;2;7760;445;119;146;168;12;12;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-11-01T00:00+01:00;2021-12-01T00:00+01:00;2021;11;8206;7734;8678;100;30;30;0;1;100;Totalt i retning Tromsø;7760;445;119;146;168;12;12;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-11-01T00:00+01:00;2021-12-01T00:00+01:00;2021;11;8207;7702;8712;100;30;30;0;1;100;Totalt i retning Kvaløya;7753;453;123;149;168;13;13;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-11-01T00:00+01:00;2021-12-01T00:00+01:00;2021;11;16413;15437;17389;100;30;30;0;1;100;Totalt;15514;898;242;295;336;25;25;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-12-01T00:00+01:00;2022-01-01T00:00+01:00;2021;12;7870;7202;8538;100;31;31;0;2;100;1;7485;383;102;107;162;11;11;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-12-01T00:00+01:00;2022-01-01T00:00+01:00;2021;12;7858;7209;8507;100;31;31;0;0;100;2;7478;380;100;106;163;11;11;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-12-01T00:00+01:00;2022-01-01T00:00+01:00;2021;12;7858;7209;8507;100;31;31;0;0;100;Totalt i retning Tromsø;7478;380;100;106;163;11;11;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-12-01T00:00+01:00;2022-01-01T00:00+01:00;2021;12;7870;7201;8539;100;31;31;0;2;100;Totalt i retning Kvaløya;7485;383;102;107;162;11;11;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2021-12-01T00:00+01:00;2022-01-01T00:00+01:00;2021;12;15728;14412;17044;100;31;31;0;2;100;Totalt;14963;763;202;214;325;22;22;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;7069;6522;7616;100;31;31;0;1;100;1;6693;375;98;101;168;8;8;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;7073;6553;7593;100;31;31;0;1;100;2;6690;382;99;106;169;8;8;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;7072;6552;7592;100;31;31;0;0;100;Totalt i retning Tromsø;6689;382;99;106;169;8;8;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;7070;6523;7617;100;31;31;0;1;100;Totalt i retning Kvaløya;6694;375;98;101;168;8;8;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;14142;13076;15208;100;31;31;0;2;100;Totalt;13383;757;197;207;337;16;16;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;7857;7350;8364;100;28;28;0;1;100;1;7456;401;102;106;178;14;14;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;7853;7368;8338;100;28;28;0;5;99,9;2;7427;421;108;118;180;15;15;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;7853;7368;8338;100;28;28;0;5;99,9;Totalt i retning Tromsø;7427;421;108;117;180;15;15;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;7857;7350;8364;100;28;28;0;1;100;Totalt i retning Kvaløya;7455;401;102;106;178;14;14;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;15710;14720;16700;100;28;28;0;6;100;Totalt;14883;822;211;223;358;29;29;0
